iter	Passed	Remaining
0	56	5625
1	57	2800
2	57	1858
3	57	1384
4	58	1102
5	58	914
6	58	780
7	59	680
8	59	600
9	59	537
10	60	485
11	60	442
12	60	405
13	60	373
14	61	346
15	61	322
16	61	301
17	62	283
18	62	266
19	62	251
20	63	238
21	63	225
22	63	214
23	64	203
24	64	193
25	64	184
26	65	176
27	65	168
28	65	160
29	65	153
30	66	147
31	66	141
32	66	135
33	66	129
34	67	124
35	67	119
36	67	115
37	67	110
38	68	106
39	68	102
40	68	98
41	68	94
42	68	91
43	69	88
44	69	84
45	69	81
46	70	78
47	70	76
48	70	73
49	70	70
50	71	68
51	71	65
52	71	63
53	71	61
54	71	58
55	72	56
56	72	54
57	72	52
58	72	50
59	73	48
60	73	46
61	73	45
62	73	43
63	74	41
64	74	40
65	74	38
66	74	36
67	75	35
68	75	33
69	75	32
70	75	30
71	75	29
72	76	28
73	76	26
74	76	25
75	76	24
76	77	23
77	77	21
78	77	20
79	77	19
80	78	18
81	78	17
82	78	16
83	78	15
84	79	13
85	79	12
86	79	11
87	79	10
88	79	9
89	80	8
90	80	7
91	80	7
92	80	6
93	81	5
94	81	4
95	81	3
96	81	2
97	81	1
98	82	0
99	82	0
