iter	Passed	Remaining
0	3	3213
1	3	1730
2	3	1265
3	4	1007
4	4	855
5	4	751
6	4	679
7	5	623
8	5	588
9	5	553
10	5	524
11	6	499
12	6	477
13	6	460
14	6	447
15	7	434
16	7	422
17	7	412
18	7	402
19	8	393
20	8	385
21	8	378
22	8	372
23	8	365
24	9	364
25	9	359
26	9	355
27	10	350
28	10	346
29	10	343
30	10	339
31	11	335
32	11	333
33	11	329
34	11	326
35	12	323
36	12	323
37	12	321
38	12	318
39	13	315
40	13	313
41	13	312
42	13	309
43	14	307
44	14	305
45	14	303
46	14	300
47	15	298
48	15	296
49	15	295
50	15	293
51	16	291
52	16	290
53	16	288
54	16	286
55	16	285
56	17	283
57	17	283
58	17	282
59	17	281
60	18	279
61	18	278
62	18	277
63	18	275
64	19	274
65	19	273
66	19	272
67	19	272
68	20	272
69	20	270
70	20	269
71	20	268
72	21	267
73	21	267
74	21	266
75	21	265
76	22	264
77	22	263
78	22	262
79	22	261
80	23	260
81	23	260
82	23	257
83	23	256
84	23	255
85	24	255
86	24	255
87	24	254
88	24	254
89	25	253
90	25	252
91	25	252
92	25	251
93	26	250
94	26	250
95	26	249
96	26	248
97	26	248
98	27	248
99	27	248
100	27	247
101	28	246
102	28	246
103	28	245
104	28	244
105	28	244
106	29	243
107	29	243
108	29	242
109	29	242
110	30	242
111	30	241
112	30	241
113	31	241
114	31	240
115	31	240
116	31	238
117	31	238
118	32	237
119	32	236
120	32	236
121	32	235
122	32	235
123	33	234
124	33	234
125	33	233
126	33	232
127	34	232
128	34	231
129	34	231
130	34	231
131	35	231
132	35	230
133	35	230
134	35	229
135	36	229
136	36	228
137	36	228
138	36	227
139	36	227
140	37	227
141	37	225
142	37	225
143	37	225
144	38	224
145	38	224
146	38	223
147	38	223
148	38	222
149	39	222
150	39	221
151	39	221
152	39	220
153	40	220
154	40	219
155	40	219
156	40	219
157	41	218
158	41	218
159	41	217
160	41	216
161	41	216
162	42	216
163	42	216
164	42	215
165	42	215
166	43	215
167	43	214
168	43	214
169	43	214
170	44	213
171	44	213
172	44	212
173	44	212
174	45	212
175	45	211
176	45	211
177	45	210
178	45	210
179	46	210
180	46	209
181	46	209
182	46	209
183	47	209
184	47	209
185	47	208
186	47	208
187	48	208
188	48	207
189	48	207
190	48	207
191	49	206
192	49	206
193	49	206
194	49	206
195	50	205
196	50	205
197	50	204
198	50	204
199	51	204
200	51	203
201	51	203
202	51	203
203	51	202
204	52	202
205	52	201
206	52	201
207	52	201
208	53	201
209	53	200
210	53	200
211	53	200
212	54	199
213	54	199
214	54	198
215	54	198
216	55	198
217	55	198
218	55	197
219	55	197
220	55	197
221	56	197
222	56	196
223	56	196
224	56	195
225	57	195
226	57	195
227	57	195
228	57	194
229	58	194
230	58	193
231	58	193
232	58	193
233	58	193
234	59	192
235	59	192
236	59	192
237	59	191
238	60	191
239	60	191
240	60	191
241	60	190
242	61	190
243	61	190
244	61	189
245	61	189
246	62	189
247	62	189
248	62	188
249	62	188
250	63	188
251	63	187
252	63	187
253	63	187
254	63	186
255	64	186
256	64	186
257	64	185
258	64	185
259	65	185
260	65	185
261	65	184
262	65	184
263	66	184
264	66	184
265	66	183
266	66	183
267	67	183
268	67	183
269	67	182
270	67	182
271	68	182
272	68	181
273	68	181
274	68	181
275	69	181
276	69	180
277	69	180
278	69	180
279	69	179
280	70	179
281	70	179
282	70	179
283	70	178
284	71	178
285	71	178
286	71	178
287	71	177
288	72	177
289	72	177
290	72	176
291	72	176
292	73	176
293	73	176
294	73	176
295	73	175
296	74	175
297	74	175
298	74	174
299	74	174
300	75	174
301	75	174
302	75	173
303	75	173
304	76	173
305	76	173
306	76	172
307	76	172
308	76	172
309	77	171
310	77	171
311	77	171
312	77	170
313	78	170
314	78	170
315	78	169
316	78	169
317	78	169
318	79	168
319	79	168
320	79	168
321	79	168
322	80	167
323	80	167
